,Satellite ID(Fake),"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number
30,31,INSAT 4B (Indian National Satellite),INSAT 4B,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,111.2,35760,35811,0.000604903,0.04,1436.08,3028,1335,,3/11/2007,,Indian Space Research Organization (ISRO),India,Guiana Space Center,Ariane 5 ECA,2007-007A,30793
31,32,INSAT 4CR (Indian National Satellite),INSAT 4CR,India,India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,73.97,37782,37791,0.00010191,0.03,1436.11,2130,,3000,9/2/2007,12,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,GSLV F04,2007-037A,32050
32,33,IRNSS-1A (Indian Regional Navigation Satellite System),IRNSS-1A,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35712,35872,0.001897443,27.1,1436,1425,614,1660,7/1/2013,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2013-034A,39199
33,34,IRNSS-1B (Indian Regional Navigation Satellite System),IRNSS-1B,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35695,35880,0.002194153,30.97,1436.14,1432,615,1660,4/4/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2014-017A,39635
34,35,IRNSS-1C (Indian Regional Navigation Satellite System),IRNSS-1C,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,83,35690,35871,0.002147068,4.96,1435.8,1425,598,1660,10/15/2014,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2014-061A,40269
35,36,IRNSS-1D (Indian Regional Navigation Satellite System),IRNSS-1D,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35699,35834,0.001601937,30.04,1435.06,1425,598,1600,3/30/2015,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-C27,2015-018A,40547
36,37,IRNSS-1E (Indian Regional Navigation Satellite System),IRNSS-1E,NR,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,111.7,35695,35874,0.002123142,28.09,1436.01,1425,598,1600,1/20/2016,12,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-003A,41241
37,38,IRNSS-1F (Indian Regional Navigation Satellite System),IRNSS-1F,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,32.5,35700,35874,0.002063714,5.09,1436.13,1425,598,1600,3/10/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV-XL,2016-015A,41384
38,39,IRNSS-1G (Indian Regional Navigation Satellite System),IRNSS-1G,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,129.5,35774,35797,0.0002728,5.06,1436.05,1425,598,1600,4/28/2016,12,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2016-027A,41469
39,40,IRNSS-1I (Indian Regional Navigation Satellite System),IRNSS-1I,India,India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,,GEO,,55,35702,35872,0.002016273,28.5,1436.1,1425,598,1600,4/11/2018,10,IRSO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-035A,43286
40,41,IRS-P6 (Resourcesat-1) ,IRS-P6,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,817,823,0.000417246,98.8,101.3,1360,,1200,10/17/2003,5,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV C5,2003-046A,28051
41,42,Microsat-TD,Microsat-TD,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,327,368,0.003051731,97.2,91.4,120,,,1/11/2018,,ISRO Satellite Center,India,Satish Dhawan Space Centre,PSLV,2018-004T,43128
42,43,PISAT ,PISAT,India,India,Indian Space Research Organization (ISRO),Government,Technology Development,Optical Imaging,LEO,Sun-Synchronous,0,661,704,0.003048564,98.2,94.8,6,,,9/26/2016,,"PES University, Bengaluru",India,Satish Dhawan Space Centre,PSLV,2016-059B,41784
43,44,Resourcesat 2A,Resourcesat 2A,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,814,831,0.001181787,98.7,101.3,1235,,,12/7/2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-074A,41877
44,45,ScatSat-1,ScatSat-1,India,India,Indian Space Research Organization (ISRO),Government,Earth Observation,Meteorology/Earth Science,LEO,Sun-Synchronous,0,717,731,0.000986749,98.1,99.3,371,,,9/26/2016,5,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV,2016-059H,41790
45,46,Youthsat,Youthsat,India,India,Indian Space Research Organization (ISRO),Government,Space Science,,LEO,Sun-Synchronous,0,802,824,0.001531394,98.7,101.2,92,,,4/20/2011,2,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C16,2011-015B,37388
